date,state,disease,value
2024-09-23,North Carolina,Influenza,0.9443
2024-09-23,North Dakota,COVID-19,0.9441
2024-09-23,North Dakota,Influenza,NA
2024-09-23,Ohio,COVID-19,0.7783
2024-09-23,Ohio,Influenza,1.0068
2024-09-23,Oklahoma,COVID-19,0.8906
2024-09-23,Oklahoma,Influenza,1.0216
2024-09-23,Oregon,COVID-19,0.8701
2024-09-23,Oregon,Influenza,1.0384
2024-09-23,Pennsylvania,COVID-19,0.8141
2024-09-23,Pennsylvania,Influenza,1.0142
2024-09-23,Rhode Island,COVID-19,0.9262
2024-09-23,Rhode Island,Influenza,NA
2024-09-23,South Carolina,COVID-19,0.8197
2024-09-23,South Carolina,Influenza,1.0449
2024-09-23,South Dakota,COVID-19,0.911
2024-09-23,South Dakota,Influenza,NA
2024-09-23,Tennessee,COVID-19,0.838
2024-09-23,Tennessee,Influenza,1.0339
2024-09-23,Texas,COVID-19,0.8533
2024-09-23,Texas,Influenza,1.0045
2024-09-23,United States,COVID-19,0.8811
2024-09-23,United States,Influenza,0.9939
2024-09-23,Utah,COVID-19,0.8768
2024-09-23,Utah,Influenza,0.9986
2024-09-23,Vermont,COVID-19,0.8924
2024-09-23,Vermont,Influenza,NA
2024-09-23,Virginia,COVID-19,0.8286
2024-09-23,Virginia,Influenza,1.0253
2024-09-23,Washington,COVID-19,0.8891
2024-09-23,Washington,Influenza,1.0468
2024-09-23,West Virginia,COVID-19,0.7979
2024-09-23,West Virginia,Influenza,1.0648
2024-09-23,Wisconsin,COVID-19,NA
2024-09-23,Wisconsin,Influenza,NA
